副本编号;怪物配置;经验;掉落编号;说明
201;4158:17|4151:6,7,8|4153:11,13;0;2101,2102,2103,2104,2105;锁妖塔-树妖
202;4156:17|4153:6,7,8|4151:11,13;0;2106,2107,2108,2109,2110;锁妖塔-蝙蝠
203;4157:17|4151:6,8,12|4152:11,13;0;2111,2112,2113,2114,2115;锁妖塔-肉虫
204;4160:17|4152:6,7,8|4155:11,13;0;2116,2117,2118,2119,2120;锁妖塔-蝶妖
205;4159:17|4154:6,7,8|4155:11,12,13;0;2121,2122,2123,2124,2125;锁妖塔-花妖
301;4256:17|4251:6,7,8|4252:11,13;0;2201,2202,2203,2204,2205;熔岩巨兽
302;4257:17|4251:1,7,3|4252:11,13;0;2206,2207,2208,2209,2210;火麒麟
303;4258:17|4253:6,7,8,2;0;2211,2212,2213,2214,2215;烈焰妖道
304;4259:17|4254:6,8|4253:1,2,3,7;0;2216,2217,2218,2219,2220;火妖皇
305;4260:17|4255:6,12|4254:2,8|4251:7;0;2221,2222,2223,2224,2225;太阳神
401;4356:17|4352:2,7|4351:11,13;0;2301,2302,2303,2304,2305;玄冰苍龙
402;4357:17|4352:1,7,3|4351:11,13;0;2306,2307,2308,2309,2310;玉笛魔女
403;4358:17|4353:6,7,8,11,12,13;0;2311,2312,2313,2314,2315;寒羽
404;4359:17|4354:6,8|4353:1,2,3;0;2316,2317,2318,2319,2320;魔化吴刚
405;4360:17|4355:11,13|4354:2,7|4351:6,8;0;2321,2322,2323,2324,2325;苍羽
501;4356:17|4352:2,7|4351:11,13;0;2401,2402,2403,2404,2405;
502;4357:17|4352:1,7,3|4351:11,13;0;2406,2407,2408,2409,2410;
503;4358:17|4353:6,7,8,11,12,13;0;2411,2412,2413,2414,2415;
504;4359:17|4354:6,8|4353:1,2,3;0;2416,2417,2418,2419,2420;
505;4360:17|4355:2,8|4354:6,12|4351:1,3;0;2421,2422,2423,2424,2425;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
