强化等级;物品等级下限;法宝阶数下限;VIP等级下限;消耗强化石ID;消耗银币数;提升攻击力;提升仙攻;提升生命力;提升防御力;自动强化等级;成功率;失败倒退等级;消耗强化石数量
0;0;0;0;2501;0;0;0;0;0;4;100;0;0
1;0;0;0;2501;500;100;100;200;50;4;100;0;2
2;0;0;0;2501;1000;200;200;400;100;4;100;1;4
3;0;0;0;2501;2000;300;300;600;200;4;100;2;6
4;0;0;0;2501;4000;400;400;800;300;4;100;3;8
5;0;0;0;2502;6000;600;600;1200;400;6;100;3;10
6;0;0;0;2502;8000;900;900;1800;500;6;100;3;10
7;0;0;0;2503;10000;1200;1200;2400;700;8;100;4;12
8;0;0;0;2503;15000;1600;1600;3200;900;8;100;5;12
9;0;0;0;2504;20000;2000;2000;4000;1100;10;100;6;16
10;0;0;0;2504;25000;2500;2500;5000;1300;10;100;7;16
11;80;31;0;2504;30000;3000;3000;6000;1500;11;100;8;16
12;80;31;0;2504;35000;3500;3500;7000;1700;12;100;9;16
13;100;51;0;2504;40000;4250;4250;8500;1900;13;100;10;16
14;100;51;0;2504;45000;5000;5000;10000;2100;14;100;11;16
