等级;充值需求;好友数量;悬赏令累积次数;元神猎取次数(免费);元神猎取次数(元宝);神器铸魂次数（元宝）;锁妖免费重置次数;锁妖重置次数;离线阵营战;包裹容量
0;0;30;20;30;0;0;1;1;0;60
1;100;30;20;30;20;0;1;3;0;70
2;500;30;20;30;20;0;1;3;1;80
3;1000;50;20;30;20;0;1;3;1;90
4;2000;55;25;30;20;6;1;3;1;100
5;5000;60;25;30;20;8;1;3;1;110
6;10000;65;30;30;20;10;1;3;1;120
7;20000;70;30;30;30;12;1;3;1;130
8;50000;80;35;30;30;14;1;3;1;140
9;100000;90;35;30;30;16;1;3;1;150
10;200000;100;40;30;40;18;1;3;1;160
11;500000;110;45;30;40;20;1;3;1;170
12;1000000;120;50;30;50;24;1;3;1;180
